id,name,abv,ibu,target_fg,target_og,ebc,srm,ph,attenuation_level,volume,boil_volume,method,ingredients,food_pairing
56,Black Eyed King Imp,9.5,85.0,1022.0,1095.0,250.0,125.0,4.4,76.8,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 50}], 'fermentation': {'temp': {'value': 18, 'unit': 'celsius'}}, 'twist': 'Coffee Beans: 12.5g at end, Lactose: 125g'}","{'malt': [{'name': 'Extra Pale - Spring Blend', 'amount': {'value': 6.25, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 1.25, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 1.25, 'unit': 'kilograms'}}, {'name': 'Crystal', 'amount': {'value': 1.56, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Amber', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Brown', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Chocolate', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Roasted Barley', 'amount': {'value': 0.31, 'unit': 'kilograms'}}], 'hops': [{'name': 'Magnum', 'amount': {'value': 62.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Willamette', 'amount': {'value': 31.25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'First Gold', 'amount': {'value': 31.25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1272 - American Ale II™'}","['Beef chilli made with cocoa powder', 'Dark chocolate covered bacon', 'Rich espresso tiramisu']"
57,Prototype 27,9.2,149.0,1014.0,1083.0,19.5,9.8,4.4,83.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 90}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Pale Ale', 'amount': {'value': 8.13, 'unit': 'kilograms'}}, {'name': 'Crystal 150', 'amount': {'value': 0.28, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.56, 'unit': 'kilograms'}}], 'hops': [{'name': 'Columbus', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Centennial', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Columbus', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Centennial', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Columbus', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Centennial', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1272 - American Ale II™'}","['Strong blue cheese', 'Cranachan', 'Chicago style hot links']"
58,Coffee Imperial Stout,9.0,65.0,1019.0,1080.0,97.0,49.0,4.4,76.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 64, 'unit': 'celsius'}, 'duration': 90}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': 'Coffee added after boil. Aged on French oak chips., Dark muscovado sugar: 312.5g for 20mins'}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 7.5, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Chocolate', 'amount': {'value': 0.31, 'unit': 'kilograms'}}, {'name': 'Roasted Barley', 'amount': {'value': 0.31, 'unit': 'kilograms'}}], 'hops': [{'name': 'Chinook', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Galena', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Galena', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'First Gold', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Coffee', 'amount': {'value': 9.4, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Coffee', 'amount': {'value': 9.4, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Gooey chocolate brownies', 'Chicken fried steak with cheesy mash', 'Spicy chicken empanadas']"
59,Mandarina Bavaria - IPA Is Dead,7.2,100.0,1010.0,1064.0,12.0,6.0,4.4,84.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 6.39, 'unit': 'kilograms'}}], 'hops': [{'name': 'Mandarina Bavaria', 'amount': {'value': 41.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Mandarina Bavaria', 'amount': {'value': 41.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Mandarina Bavaria', 'amount': {'value': 41.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Lavender and thyme roast beef', 'Spicy kung po chicken', 'Caramel and rose essence cheesecake']"
60,Dogma,7.5,30.0,1023.0,1080.0,46.0,23.0,4.5,70.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 12, 'unit': 'celsius'}}, 'twist': 'Heather Honey: 125g'}","{'malt': [{'name': 'Pale Ale', 'amount': {'value': 3.5, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.75, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.5, 'unit': 'kilograms'}}, {'name': 'Crystal', 'amount': {'value': 0.38, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.5, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 1, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 1, 'unit': 'kilograms'}}, {'name': 'Chocolate', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Smoked Malt', 'amount': {'value': 0.06, 'unit': 'kilograms'}}, {'name': 'Amber', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Brown', 'amount': {'value': 0.25, 'unit': 'kilograms'}}], 'hops': [{'name': 'Saaz', 'amount': {'value': 75, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'First Gold', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}], 'yeast': 'Wyeast 2007 - Pilsen Lager™'}","['Mature cheddar with red onion chutney', 'Honey glazed ham', 'Chocolate caramel drizzled sponge cake']"
61,Magic Stone Dog (w/Magic Rock & Stone Brewing Co.),4.6,30.0,1008.0,1043.0,15.0,7.5,4.4,81.4,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 23, 'unit': 'celsius'}}, 'twist': 'Cumin: 0.5g at end, Caraway: 1g at end, Peppercorns (Pink): 5g at end, Grains of Paradise: 5g at end'}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 2.38, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.44, 'unit': 'kilograms'}}, {'name': 'Torrified Wheat', 'amount': {'value': 0.44, 'unit': 'kilograms'}}, {'name': 'Rye', 'amount': {'value': 0.19, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 0.44, 'unit': 'kilograms'}}, {'name': 'Amber', 'amount': {'value': 0.19, 'unit': 'kilograms'}}], 'hops': [{'name': 'Simcoe', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 3711 - French Saison™'}","['Halibut with caper brown butter', 'Creamy gorgonzola and satsuma salad', 'Spicy Daal with garlic naan bread']"
62,AB:08,10.43,65.0,1016.0,1095.0,23.0,11.5,4.4,83.2,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': None}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': 'Cacao: 25g at FV, Coffee Beans: 37.5g at FV, Oak Chips: 5g at FV, Vanilla Pods: 10 split pods, Liquorice: 5g at FV'}","{'malt': [{'name': 'Maris Otter Extra Pale', 'amount': {'value': 9.25, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 1.88, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 1.88, 'unit': 'kilograms'}}, {'name': 'Smoked Peaty', 'amount': {'value': 0.13, 'unit': 'kilograms'}}], 'hops': [{'name': 'First Gold', 'amount': {'value': 81.25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'First Gold', 'amount': {'value': 62.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Coffee Beans', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1272 - American Ale II™'}","['Caramelised scallops with burnt apple puree', 'Blackened Cajun chicken', 'Blondies with chocolate fudge sauce']"
63,Sunk Punk,7.1,68.0,1010.0,1056.0,14.0,7.0,4.4,82.1,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 10, 'unit': 'celsius'}}, 'twist': 'Seabuckthorn: 25g at end, Sea Salt: 20g at middle, Rum: 25ml at end'}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 5.21, 'unit': 'kilograms'}}], 'hops': [{'name': 'Chinook', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Ahtanum', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Chinook', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Ahtanum', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Chinook', 'amount': {'value': 30, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Ahtanum', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Nelson Sauvin', 'amount': {'value': 140, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 2007 - Pilsen Lager™'}","['Salt baked cod with lemon and dill butter', 'Beef, oyster and ale pie', 'Apple and rosemary tart']"
64,Sub Hop,8.0,35.0,1016.0,1077.0,15.0,7.5,4.4,79.2,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': None}], 'fermentation': {'temp': {'value': 9, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 6.25, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Dextrose', 'amount': {'value': 0.38, 'unit': 'kilograms'}}], 'hops': [{'name': 'Saaz', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Hallertauer Mittelfrüh', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Pacifica', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Pacific Jade', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Pacifica', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Pacific Jade', 'amount': {'value': 75, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Pacifica', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 2007 - Pilsen Lager™'}","['Seared lemon and herb salmon', 'Crab linguine', 'Almond biscotti']"
65,Bracken's Porter,5.0,50.0,1010.0,1049.0,110.0,55.0,4.4,79.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 3.63, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.19, 'unit': 'kilograms'}}, {'name': 'Roasted Barley', 'amount': {'value': 0.31, 'unit': 'kilograms'}}, {'name': 'Black Malt', 'amount': {'value': 0.13, 'unit': 'kilograms'}}], 'hops': [{'name': 'Vic Secret', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Bramling Cross', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'aroma'}, {'name': 'Challenger', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Grilled vegetable and chicken teriyaki skewers', 'Chilli covered burger (Sloppy Joe)', 'Candied bacon topped chocolate cheesecake']"
66,Tokyo Rising Sun - Lowland,13.2,85.0,1023.0,1125.0,140.0,71.0,4.4,82.17,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': None}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': 'Cranberry: 25g at end, Jasmine: 25g at end, Muscovado sugar: 300g at start, Oak chips soaked in lowland whisky: 15g at dry hop'}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 7.6, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 1.75, 'unit': 'kilograms'}}, {'name': 'Chocolate', 'amount': {'value': 0.5, 'unit': 'kilograms'}}, {'name': 'Roasted Barley', 'amount': {'value': 0.5, 'unit': 'kilograms'}}], 'hops': [{'name': 'Chinook', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Galena', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Chinook', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Galena', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Galena', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'First Gold', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Chinook', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'WLP099 - Super High Gravity Ale'}","['Duck liver paté', 'Mutton stew', 'Kirsch chocolate truffles']"
67,Hunter Foundation Pale Ale,5.4,35.0,1008.0,1050.0,11.5,5.75,4.4,84.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 63, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Maris Otter Extra Pale', 'amount': {'value': 4.3, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.8, 'unit': 'kilograms'}}], 'hops': [{'name': 'Amarillo', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Simcoe', 'amount': {'value': 15, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Amarillo', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Citra', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Monterey Jack stuffed grilled jalepenos', 'Barbecue corn and steak fajita seasoned wrap', 'Cinnamon & white chocolate churro']"
68,Hype,4.1,65.0,1010.0,1042.0,17.0,8.5,4.4,76.2,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Maris Otter Extra Pale', 'amount': {'value': 4.02, 'unit': 'kilograms'}}], 'hops': [{'name': 'Nelson Sauvin', 'amount': {'value': 2, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Nelson Sauvin', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 2.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1272 - American Ale II™'}","['Quince cheese', 'Shredded chicken and mango salsa taquitos', 'Poached pear']"
69,AB:16,10.6,55.0,1012.0,1090.0,30.0,15.0,4.4,86.7,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': 'Coffee Beans: 250g FV. Raisins: 90g at end. Dark Sugar:140g at end.'}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 7.75, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.5, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.5, 'unit': 'kilograms'}}, {'name': 'Crystal 150', 'amount': {'value': 0.38, 'unit': 'kilograms'}}, {'name': 'Chocolate', 'amount': {'value': 0.13, 'unit': 'kilograms'}}], 'hops': [{'name': 'Waimea', 'amount': {'value': 15, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Saaz', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Fuggles', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}], 'yeast': 'Wyeast 3787 - Trappist High Gravity™'}","['Roasted duck', 'Gorgonzola and rye nut bread with smoked honey ham', 'Raspberry coffee cheesecake']"
70,Sunmaid Stout,10.2,50.0,1102.0,1026.0,197.0,100.0,4.4,74.5,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 55}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': 'Age in whisky casks with rum soaked raisins'}","{'malt': [{'name': 'Pale Ale - Tipple', 'amount': {'value': 10, 'unit': 'kilograms'}}, {'name': 'Chocolate', 'amount': {'value': 1.25, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 3', 'amount': {'value': 0.94, 'unit': 'kilograms'}}, {'name': 'Crystal', 'amount': {'value': 0.94, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 1.56, 'unit': 'kilograms'}}], 'hops': [{'name': 'Simcoe', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Challenger', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1272 - American Ale II™'}","['Lapin aux pruneaux (braised rabbit with prunes)', 'Gouda cheese', 'Dark chocolate truffles']"
71,Pale - Russian Doll,4.0,35.0,1010.0,1041.0,45.0,22.5,5.2,75.6,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 3.63, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.13, 'unit': 'kilograms'}}], 'hops': [{'name': 'Cascade', 'amount': {'value': 7.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Centennial', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Citra', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 17.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 62.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Cascade', 'amount': {'value': 62.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Centennial', 'amount': {'value': 62.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Citra', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Roast chicken with vegetables and wild rice', 'Fresh pico de gallo with corn tortilla', 'Carrot cake']"
72,Whisky Sour - B-Sides,7.0,20.0,1021.0,1081.0,12.0,6.0,3.2,74.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 60, 'unit': 'celsius'}, 'duration': 10}, {'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 30}, {'temp': {'value': 72, 'unit': 'celsius'}, 'duration': 10}, {'temp': {'value': 78, 'unit': 'celsius'}, 'duration': 5}], 'fermentation': {'temp': {'value': None, 'unit': 'celsius'}}, 'twist': 'Kettle Soured'}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 6.88, 'unit': 'kilograms'}}, {'name': 'Acidulated Malt', 'amount': {'value': 1.88, 'unit': 'kilograms'}}, {'name': 'Wheat Malt', 'amount': {'value': 1.25, 'unit': 'kilograms'}}, {'name': 'Rye', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Special W', 'amount': {'value': 0.05, 'unit': 'kilograms'}}], 'hops': [{'name': 'Amarillo', 'amount': {'value': 8.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Citra', 'amount': {'value': 8.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Simcoe', 'amount': {'value': 8.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Amarillo', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Citra', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 1.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Citra', 'amount': {'value': 1.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Simcoe', 'amount': {'value': 1.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1272 - American Ale II™'}","['Potted fresh & smoked salmon', 'Spiced nut loaf', 'Lemon poppyseed donuts']"
73,Black Eyed King Imp - Vietnamese Coffee Edition,12.7,85.0,1038.0,1113.5,250.0,125.0,5.2,76.8,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 50}], 'fermentation': {'temp': {'value': 18, 'unit': 'celsius'}}, 'twist': 'Coffee Beans: 12.5g at end, Lactose: 125g at FV, Bourbon barrel aged'}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 6.25, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 1.25, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 1.25, 'unit': 'kilograms'}}, {'name': 'Crystal', 'amount': {'value': 1.5625, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.625, 'unit': 'kilograms'}}, {'name': 'Amber', 'amount': {'value': 0.625, 'unit': 'kilograms'}}, {'name': 'Brown', 'amount': {'value': 0.625, 'unit': 'kilograms'}}, {'name': 'Chocolate', 'amount': {'value': 0.625, 'unit': 'kilograms'}}, {'name': 'Roasted Barley', 'amount': {'value': 0.3125, 'unit': 'kilograms'}}], 'hops': [{'name': 'Magnum', 'amount': {'value': 62.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Willamette', 'amount': {'value': 31.25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'bitter'}, {'name': 'First Gold', 'amount': {'value': 31.25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'aroma / bitter'}], 'yeast': 'Wyeast 1272 - American Ale II™'}","['Bacon sandwich with brown sauce', '20hr smoked brisket', 'Chocolate fudge ice cream']"
